Month,Year,sales
January,2012,
February,2012,
March,2012,
April,2012,
May,2012,
June,2012,
July,2012,
August,2012,
September,2012,1.71
October,2012,1.9
November,2012,2.74
December,2012,4.2
January,2013,1.45
February,2013,1.8
March,2013,2.03
April,2013,1.99
May,2013,2.32
June,2013,2.2
July,2013,2.13
August,2013,2.43
September,2013,1.9
October,2013,2.13
November,2013,2.56
December,2013,4.16
January,2014,2.31
February,2014,1.89
March,2014,2.02
April,2014,2.23
May,2014,2.39
June,2014,2.14
July,2014,2.27
August,2014,2.21
September,2014,1.89
October,2014,2.29
November,2014,2.83
December,2014,4.04
January,2015,2.31
February,2015,1.99
March,2015,2.42
April,2015,2.45
May,2015,2.57
June,2015,2.42
July,2015,2.4
August,2015,2.5
September,2015,2.09
October,2015,2.54
November,2015,2.97
December,2015,4.35
January,2016,2.56
February,2016,2.28
March,2016,2.69
April,2016,2.48
May,2016,2.73
June,2016,2.37
July,2016,2.31
August,2016,2.23
September,2016,
October,2016,
November,2016,
December,2016,
